"","Family","Species","Mean_m","Mean_f","Median_m","Median_f","Maximum_m","Maximum_f","BM_g","n","Type","Source"
"316","Cervidae","Capreolus capreolus",NA,NA,NA,NA,"40",3.8,21666.7,"14 m 21 f","D","(Wahlström & Liberg 1995)"
"317","Cervidae","Capreolus capreolus",2.12,2.12,NA,NA,"7.8",7.8,21666.7,"69 m 77 f","D","(Gaillard et al. 2008)"
"318","Cervidae","Odocoileus hemionus
columbianus",15.2,12.2,NA,NA,"32",30,NA,"15 m 4 f","D","(Bunnell & Harestad 1983)"
"319","Cervidae","Odocoileus hemionus
columbianus",NA,NA,NA,NA,"112",112,NA,"4 mf","D","(Hedlund 1975)"
"320","Cervidae","Odocoileus hemionus
columbianus",8.577,4.425,4.828,3.524,"25.749",6.678,NA,"11 m 6 f","D","(Zwickel, Jones & Brent 1953)"
"321","Cervidae","Odocoileus hemionus hemionus",7.177,5.906,NA,NA,"67.592",82.076,NA,"92 m 45 f","D","(Robinette 1966)"
"322","Cervidae","Odocoileus virginianus",18.5,19.5,12.9,8.2,"",109.8,87000,"24 m 9 f","D","(Dusek et al. 1989)"
"323","Cervidae","Odocoileus virginianus",NA,NA,NA,NA,"28",NA,87000,"36 mf","D","(Tierson et al. 1985)"
"324","Cervidae","Odocoileus virginianus",6.4,6.4,NA,NA,"",NA,87000,"7 m 7 f","D","(Kilgo, Labisky & Fritzen 1996)"
"325","Cervidae","Odocoileus virginianus",NA,NA,8,NA,"9.6",NA,87000,"7 m","D","(Nelson & Mech 1984)"
"326","Cervidae","Odocoileus virginianus",NA,NA,NA,NA,"560",560,87000,"","H","(Hahn, Glazener in Rogers 1988)"
"327","Cervidae","Odocoileus virginianus",NA,NA,NA,NA,"161",NA,87000,"1 m","D","(Nixon 1994)"
"328","Cervidae","Odocoileus virginianus",4.25,NA,NA,NA,"7.3",NA,87000,"22 m","D","(McCoy, Hewitt & Bryant 2005)"
"329","Cervidae","Odocoileus virginianus",NA,NA,NA,NA,"212.6",212.6,87000,"","D","(Kernohan, Jenks & Naugle 1994)"
"330","Cervidae","Odocoileus virginianus",12,NA,NA,NA,"38.4",22,87000,"13 m 1 f","D","(Nelson & Mech 1987)"
"331","Cervidae","Alces alces",NA,NA,NA,NA,"290",NA,NA,"","H","(Aho in Rogers 1988)"
"332","Cervidae","Alces alces",NA,NA,NA,NA,"",118,NA,"19 mf","D","(Pulliainen 1974)"
"333","Cervidae","Alces alces",NA,NA,NA,NA,"6.5",4.9,NA,"5 m 4 f","D","(Cederlund & Sand 1992)"
"334","Cervidae","Cervus elaphus",NA,NA,NA,NA,"20",NA,2e+05,"","D","(Red Deer Commission Report in
Clutton-Brock, Guinness & Albon
1982)"
"335","Cervidae","Cervus elaphus",NA,NA,NA,NA,"",142,2e+05,"","D","(Yott et al. 2011)"
"336","Cervidae","Cervus elaphus",NA,NA,NA,NA,"18.5",18.5,2e+05,"5 mf","D","(Brazda 1953)"
"337","Suidae","Sus scrofa **",NA,NA,NA,NA,"59",32.5,NA,"60 m 44 f","D","(Truvé, Lemel & Söderberg 2004)"
